,값
초기자본,10000
최종자산,11930.825573146343
총수익,1930.8255731463432
총수익률,19.31%
연환산수익률,17.77%
샤프비율,0.94
최대낙폭,-12.06%
총거래횟수,149
승률,56.16%
평균수익,$156.47
평균손실,$104.90
수익팩터,1.49
