date,symbol,type,shares,price,value,pnl,pnl_pct
2023-03-08,SOL/USD,BUY,81,18.421194076538086,1492.116720199585,,
2023-03-09,SOL/USD,SELL,81,17.308147430419922,1401.9599418640137,-90.15677833557129,-0.060422068270578694
2023-03-09,BNB/USD,BUY,4,277.2961120605469,1109.1844482421875,,
2023-03-09,SOL/USD,BUY,73,17.308147430419922,1263.4947624206543,,
2023-03-09,LINK/USD,BUY,207,6.158695220947266,1274.849910736084,,
2023-03-12,SOL/USD,SELL,73,20.310531616210938,1482.6688079833984,219.17404556274414,0.17346652481791192
2023-03-13,BNB/USD,SELL,4,308.9122009277344,1235.6488037109375,126.46435546875,0.11401562262179936
2023-03-13,LINK/USD,SELL,207,6.776379108428955,1402.7104754447937,127.86056470870972,0.10029460223665425
2023-04-11,SOL/USD,BUY,67,23.018827438354492,1542.261438369751,,
2023-04-12,SOL/USD,SELL,67,23.985305786132812,1607.0154876708984,64.75404930114746,0.04198642829946899
2023-05-08,XRP/USD,BUY,3653,0.42891499400138855,1566.8264730870724,,
2023-05-08,DOT/USD,BUY,291,5.3758931159973145,1564.3848967552185,,
2023-05-08,MATIC/USD,BUY,1740,0.900642991065979,1567.1188044548035,,
2023-05-09,AVAX/USD,BUY,56,15.335582733154297,858.7926330566406,,
2023-05-11,MATIC/USD,SELL,1740,0.8425009846687317,1465.9517133235931,-101.16709113121033,-0.0645561082182318
2023-05-11,MATIC/USD,BUY,870,0.8425009846687317,732.9758566617966,,
2023-05-21,AVAX/USD,SELL,56,14.313434600830078,801.5523376464844,-57.24029541015625,-0.06665205686083364
2023-05-27,XRP/USD,SELL,3653,0.4722450077533722,1725.1110133230686,158.28454023599625,0.10102238056019876
2023-05-28,MATIC/USD,SELL,870,0.9418879747390747,819.442538022995,86.46668136119843,0.11796661591964978
2023-06-05,DOT/USD,SELL,291,5.073203086853027,1476.302098274231,-88.08279848098755,-0.05630506831386904
2023-06-05,BNB/USD,BUY,4,276.8892517089844,1107.5570068359375,,
2023-06-05,LINK/USD,BUY,221,6.0659499168396,1340.5749316215515,,
2023-06-06,MATIC/USD,BUY,1456,0.8237339854240417,1199.3566827774048,,
2023-06-07,BNB/USD,SELL,4,259.3914489746094,1037.5657958984375,-69.9912109375,-0.06319422883473104
2023-06-07,MATIC/USD,SELL,1456,0.7652440071105957,1114.1952743530273,-85.16140842437744,-0.07100590645575534
2023-06-07,BNB/USD,BUY,3,259.3914489746094,778.1743469238281,,
2023-06-07,ADA/USD,BUY,3164,0.3222779929637909,1019.6875697374344,,
2023-06-07,MATIC/USD,BUY,1332,0.7652440071105957,1019.3050174713135,,
2023-06-09,ADA/USD,SELL,3164,0.295401006937027,934.6487859487534,-85.03878378868103,-0.0833969014750059
2023-06-09,SOL/USD,BUY,52,17.37969970703125,903.744384765625,,
2023-06-09,ADA/USD,BUY,3114,0.295401006937027,919.878735601902,,
2023-06-10,LINK/USD,SELL,221,5.241125106811523,1158.2886486053467,-182.28628301620483,-0.13597619850739148
2023-06-10,BNB/USD,SELL,3,239.08908081054688,717.2672424316406,-60.9071044921875,-0.07826922685508343
