,trades,buys,sells,pnl,wins,losses
SOL/USD,38.0,19.0,19.0,963.2015705108643,12.0,7.0
BNB/USD,31.0,16.0,15.0,477.43922424316406,7.0,8.0
LINK/USD,22.0,11.0,11.0,736.3136501312256,8.0,3.0
XRP/USD,34.0,17.0,17.0,899.4255799949169,9.0,8.0
DOT/USD,42.0,21.0,21.0,318.3381907939911,10.0,11.0
MATIC/USD,41.0,21.0,20.0,-1057.2734924256802,5.0,15.0
AVAX/USD,46.0,23.0,23.0,207.0034351348877,10.0,13.0
ADA/USD,43.0,22.0,21.0,-146.76491117477417,9.0,12.0
