symbol,order_type,quantity,price,timestamp,commission,pnl
MSFT,BUY,4,424.9380798339844,2024-07-24,0.0,0.0
MSFT,SELL,4,414.53509521484375,2024-07-25,0.0,-41.6119384765625
LLY,BUY,2,812.6270141601562,2024-07-25,0.0,0.0
LLY,SELL,2,796.2297973632812,2024-07-26,0.0,-32.79443359375
MSFT,BUY,4,404.7166442871094,2024-08-02,0.0,0.0
MSFT,SELL,4,391.4998474121094,2024-08-05,0.0,-52.8671875
AAPL,BUY,8,220.4791717529297,2024-08-14,0.0,0.0
MSFT,BUY,3,415.3517150878906,2024-08-16,0.0,0.0
AMZN,BUY,7,177.05999755859375,2024-08-16,0.0,0.0
MSFT,BUY,2,418.388916015625,2024-08-19,0.0,0.0
GOOGL,BUY,5,165.7183074951172,2024-08-19,0.0,0.0
AMZN,BUY,4,178.22000122070312,2024-08-19,0.0,0.0
MSFT,BUY,1,421.6345520019531,2024-08-20,0.0,0.0
GOOGL,BUY,3,166.22540283203125,2024-08-20,0.0,0.0
AMZN,BUY,2,178.8800048828125,2024-08-20,0.0,0.0
AMZN,BUY,2,180.11000061035156,2024-08-21,0.0,0.0
AMZN,BUY,1,176.1300048828125,2024-08-22,0.0,0.0
AMZN,BUY,1,177.0399932861328,2024-08-23,0.0,0.0
AMZN,BUY,1,175.5,2024-08-26,0.0,0.0
GOOGL,BUY,1,162.44711303710938,2024-08-30,0.0,0.0
GOOGL,SELL,9,156.46148681640625,2024-09-03,0.0,-81.56147766113287
AAPL,SELL,8,219.58419799804688,2024-09-06,0.0,-7.1597900390625
META,BUY,1,498.2265930175781,2024-09-06,0.0,0.0
AMZN,SELL,18,187.0,2024-09-12,0.0,167.0500030517578
MSFT,SELL,6,427.38140869140625,2024-09-13,0.0,59.8209228515625
NVDA,BUY,15,119.06585693359375,2024-09-13,0.0,0.0
AAPL,BUY,6,215.10939025878906,2024-09-16,0.0,0.0
META,BUY,2,531.6083984375,2024-09-16,0.0,0.0
META,SELL,3,534.638916015625,2024-09-17,0.0,42.47335815429676
AAPL,SELL,6,227.58914184570312,2024-09-19,0.0,74.87850952148438
V,BUY,5,282.6908874511719,2024-09-19,0.0,0.0
AAPL,BUY,5,226.9228973388672,2024-09-20,0.0,0.0
V,BUY,3,282.22509765625,2024-09-20,0.0,0.0
V,SELL,8,270.3422546386719,2024-09-24,0.0,-97.39169311523438
AAPL,SELL,5,231.69602966308594,2024-09-30,0.0,23.86566162109375
MSFT,BUY,3,427.0935363769531,2024-09-30,0.0,0.0
AMZN,BUY,7,186.3300018310547,2024-09-30,0.0,0.0
IONQ,BUY,123,8.739999771118164,2024-09-30,0.0,0.0
MSFT,SELL,3,417.55517578125,2024-10-01,0.0,-28.615081787109375
AMZN,SELL,7,185.1300048828125,2024-10-01,0.0,-8.399978637695312
IONQ,BUY,166,8.170000076293945,2024-10-01,0.0,0.0
GOOGL,BUY,6,163.65826416015625,2024-10-08,0.0,0.0
NVDA,SELL,15,132.85189819335938,2024-10-08,0.0,206.79061889648438
GOOGL,BUY,8,161.14932250976562,2024-10-09,0.0,0.0
LLY,BUY,1,911.4210815429688,2024-10-09,0.0,0.0
AAPL,BUY,3,227.7581787109375,2024-10-10,0.0,0.0
IONQ,SELL,289,10.65999984741211,2024-10-11,0.0,649.4999713897705
GOOGL,BUY,8,164.23573303222656,2024-10-14,0.0,0.0
AAPL,SELL,3,232.54129028320312,2024-10-15,0.0,14.349334716796875
NVDA,BUY,9,131.56228637695312,2024-10-15,0.0,0.0
V,BUY,3,284.95050048828125,2024-10-16,0.0,0.0
V,SELL,3,287.7948913574219,2024-10-17,0.0,8.533172607421875
AMZN,BUY,5,189.07000732421875,2024-10-21,0.0,0.0
NVDA,SELL,9,143.66880798339844,2024-10-21,0.0,108.95869445800781
AAPL,BUY,4,229.46856689453125,2024-10-23,0.0,0.0
META,BUY,1,561.923095703125,2024-10-23,0.0,0.0
IONQ,BUY,52,14.739999771118164,2024-10-23,0.0,0.0
AAPL,SELL,4,230.1149444580078,2024-10-25,0.0,2.58551025390625
IONQ,SELL,52,16.959999084472656,2024-10-25,0.0,115.4399642944336
GOOGL,SELL,22,165.9879913330078,2024-10-28,0.0,66.70578002929705
AMZN,BUY,8,190.8300018310547,2024-10-29,0.0,0.0
META,SELL,1,591.42041015625,2024-10-29,0.0,29.497314453125
V,BUY,5,279.36090087890625,2024-10-29,0.0,0.0
IONQ,BUY,73,16.739999771118164,2024-10-29,0.0,0.0
AMZN,SELL,13,192.72999572753906,2024-10-30,0.0,33.499893188476506
LLY,SELL,1,839.1705932617188,2024-10-30,0.0,-72.25048828125
V,SELL,5,287.5669250488281,2024-10-30,0.0,41.030120849609375
AAPL,BUY,8,224.64569091796875,2024-10-31,0.0,0.0
GOOGL,BUY,9,170.3587188720703,2024-10-31,0.0,0.0
AMZN,BUY,6,186.39999389648438,2024-10-31,0.0,0.0
META,BUY,1,565.8009643554688,2024-10-31,0.0,0.0
V,BUY,3,287.25970458984375,2024-10-31,0.0,0.0
AAPL,SELL,8,221.66250610351562,2024-11-01,0.0,-23.865478515625
AMZN,SELL,6,197.92999267578125,2024-11-01,0.0,69.17999267578125
META,BUY,2,565.3822021484375,2024-11-01,0.0,0.0
V,SELL,3,289.2418212890625,2024-11-04,0.0,5.94635009765625
IONQ,SELL,73,14.369999885559082,2024-11-04,0.0,-173.009991645813
GOOGL,SELL,9,179.95639038085938,2024-11-07,0.0,86.37904357910156
META,BUY,3,582.98681640625,2024-11-12,0.0,0.0
AMZN,BUY,7,202.61000061035156,2024-11-15,0.0,0.0
META,SELL,6,552.34326171875,2024-11-15,0.0,-131.46624755859375
IONQ,BUY,72,25.229999542236328,2024-11-18,0.0,0.0
AMZN,SELL,7,204.61000061035156,2024-11-19,0.0,14.0
NVDA,BUY,12,145.84817504882812,2024-11-20,0.0,0.0
META,BUY,2,563.7473754882812,2024-11-20,0.0,0.0
IONQ,SELL,72,28.860000610351562,2024-11-20,0.0,261.3600769042969
V,BUY,5,307.71441650390625,2024-11-21,0.0,0.0
V,BUY,4,307.7342834472656,2024-11-22,0.0,0.0
NVDA,BUY,7,135.9810028076172,2024-11-25,0.0,0.0
META,BUY,1,563.338623046875,2024-11-25,0.0,0.0
V,SELL,9,310.981201171875,2024-11-25,0.0,29.32159423828108
NVDA,SELL,19,136.88075256347656,2024-11-26,0.0,-101.31082153320298
LLY,BUY,2,783.4761352539062,2024-11-26,0.0,0.0
V,BUY,4,309.6208801269531,2024-11-26,0.0,0.0
V,SELL,4,312.4805908203125,2024-11-27,0.0,11.4388427734375
AMZN,BUY,7,213.44000244140625,2024-12-03,0.0,0.0
META,SELL,3,611.7265014648438,2024-12-03,0.0,144.34613037109386
AMZN,SELL,7,218.16000366210938,2024-12-04,0.0,33.040008544921875
GOOGL,BUY,10,174.8001251220703,2024-12-09,0.0,0.0
GOOGL,SELL,10,184.56826782226562,2024-12-10,0.0,97.68142700195312
GOOGL,BUY,9,194.7849578857422,2024-12-17,0.0,0.0
MSFT,BUY,3,434.999755859375,2024-12-18,0.0,0.0
AMZN,BUY,5,220.52000427246094,2024-12-18,0.0,0.0
