date,portfolio_value,cash,positions_value,total_return,num_positions,num_trades
2024-06-03,10000.0,10000.0,0.0,0.0,0,0
2024-06-04,10000.0,10000.0,0.0,0.0,0,0
2024-06-05,10000.0,10000.0,0.0,0.0,0,0
2024-06-06,10000.0,10000.0,0.0,0.0,0,0
2024-06-07,10000.0,10000.0,0.0,0.0,0,0
2024-06-10,10000.0,10000.0,0.0,0.0,0,0
2024-06-11,10000.0,10000.0,0.0,0.0,0,0
2024-06-12,10000.0,10000.0,0.0,0.0,0,0
2024-06-13,10000.0,10000.0,0.0,0.0,0,0
2024-06-14,10000.0,10000.0,0.0,0.0,0,0
2024-06-17,10000.0,10000.0,0.0,0.0,0,0
2024-06-18,10000.0,10000.0,0.0,0.0,0,0
2024-06-20,10000.0,10000.0,0.0,0.0,0,0
2024-06-21,10000.0,10000.0,0.0,0.0,0,0
2024-06-24,10000.0,10000.0,0.0,0.0,0,0
2024-06-25,10000.0,10000.0,0.0,0.0,0,0
2024-06-26,10000.0,10000.0,0.0,0.0,0,0
2024-06-27,10000.0,10000.0,0.0,0.0,0,0
2024-06-28,10000.0,10000.0,0.0,0.0,0,0
2024-07-01,10000.0,10000.0,0.0,0.0,0,0
2024-07-02,10000.0,10000.0,0.0,0.0,0,0
2024-07-03,10000.0,10000.0,0.0,0.0,0,0
2024-07-05,10000.0,10000.0,0.0,0.0,0,0
2024-07-08,10000.0,10000.0,0.0,0.0,0,0
2024-07-09,10000.0,10000.0,0.0,0.0,0,0
2024-07-10,10000.0,10000.0,0.0,0.0,0,0
2024-07-11,10000.0,10000.0,0.0,0.0,0,0
2024-07-12,10000.0,10000.0,0.0,0.0,0,0
2024-07-15,10000.0,10000.0,0.0,0.0,0,0
2024-07-16,10000.0,10000.0,0.0,0.0,0,0
2024-07-17,10000.0,10000.0,0.0,0.0,0,0
2024-07-18,10000.0,10000.0,0.0,0.0,0,0
2024-07-19,10000.0,10000.0,0.0,0.0,0,0
2024-07-22,10000.0,10000.0,0.0,0.0,0,0
2024-07-23,10000.0,10000.0,0.0,0.0,0,0
2024-07-24,10000.0,8300.247680664062,1699.7523193359375,0.0,1,1
2024-07-25,9958.388061523438,8333.134033203125,1625.2540283203125,-0.00416119384765625,1,3
2024-07-26,9925.593627929688,9925.593627929688,0.0,-0.00744063720703125,0,4
2024-07-29,9925.593627929688,9925.593627929688,0.0,-0.00744063720703125,0,4
2024-07-30,9925.593627929688,9925.593627929688,0.0,-0.00744063720703125,0,4
2024-07-31,9925.593627929688,9925.593627929688,0.0,-0.00744063720703125,0,4
2024-08-01,9925.593627929688,9925.593627929688,0.0,-0.00744063720703125,0,4
2024-08-02,9925.593627929688,8306.72705078125,1618.8665771484375,-0.00744063720703125,1,5
2024-08-05,9872.726440429688,9872.726440429688,0.0,-0.01272735595703125,0,6
2024-08-06,9872.726440429688,9872.726440429688,0.0,-0.01272735595703125,0,6
2024-08-07,9872.726440429688,9872.726440429688,0.0,-0.01272735595703125,0,6
2024-08-08,9872.726440429688,9872.726440429688,0.0,-0.01272735595703125,0,6
2024-08-09,9872.726440429688,9872.726440429688,0.0,-0.01272735595703125,0,6
2024-08-12,9872.726440429688,9872.726440429688,0.0,-0.01272735595703125,0,6
2024-08-13,9872.726440429688,9872.726440429688,0.0,-0.01272735595703125,0,6
2024-08-14,9872.726440429688,8108.89306640625,1763.8333740234375,-0.01272735595703125,1,7
2024-08-15,9896.592041015625,8108.89306640625,1787.698974609375,-0.0103407958984375,1,7
2024-08-16,9907.17236328125,5623.417938232422,4283.754425048828,-0.009282763671875,3,9
2024-08-19,9923.131286621094,3245.1685638427734,6677.96272277832,-0.007686871337890625,4,12
2024-08-20,9954.087112426758,1967.0977935791016,7986.989318847656,-0.004591288757324219,4,15
2024-08-21,9954.692352294922,1606.8777923583984,8347.814559936523,-0.0045307647705078126,4,16
2024-08-22,9812.653671264648,1430.747787475586,8381.905883789062,-0.018734632873535155,4,17
2024-08-23,9867.451461791992,1253.7077941894531,8613.743667602539,-0.013254853820800782,4,18
2024-08-26,9828.619232177734,1078.2077941894531,8750.411437988281,-0.017138076782226563,4,19
2024-08-27,9782.853057861328,1078.2077941894531,8704.645263671875,-0.021714694213867188,4,19
2024-08-28,9694.991149902344,1078.2077941894531,8616.78335571289,-0.030500885009765624,4,19
2024-08-29,9751.49917602539,1078.2077941894531,8673.291381835938,-0.024850082397460938,4,19
2024-08-30,9896.721893310547,915.7606811523438,8980.961212158203,-0.010327810668945312,4,20
2024-09-03,9706.934692382812,2323.9140625,7383.0206298828125,-0.02930653076171875,3,21
2024-09-04,9635.884674072266,2323.9140625,7311.970611572266,-0.03641153259277344,3,21
2024-09-05,9727.09878540039,2323.9140625,7403.184722900391,-0.027290121459960938,3,21
2024-09-06,9557.84780883789,3582.361053466797,5975.486755371094,-0.04421521911621094,3,23
