portfolio_value,cash,positions_value,total_return,num_positions,num_trades
10000.0,10000.0,0.0,0.0,0,0
10000.0,10000.0,0.0,0.0,0,0
10000.0,10000.0,0.0,0.0,0,0
10000.0,10000.0,0.0,0.0,0,0
10000.0,10000.0,0.0,0.0,0,0
10000.0,10000.0,0.0,0.0,0,0
10000.0,10000.0,0.0,0.0,0,0
10000.0,10000.0,0.0,0.0,0,0
10000.0,10000.0,0.0,0.0,0,0
10000.0,10000.0,0.0,0.0,0,0
10000.0,10000.0,0.0,0.0,0,0
10000.0,10000.0,0.0,0.0,0,0
10000.0,10000.0,0.0,0.0,0,0
10000.0,10000.0,0.0,0.0,0,0
10000.0,10000.0,0.0,0.0,0,0
10000.0,10000.0,0.0,0.0,0,0
10000.0,10000.0,0.0,0.0,0,0
10000.0,10000.0,0.0,0.0,0,0
10000.0,10000.0,0.0,0.0,0,0
10000.0,10000.0,0.0,0.0,0,0
10000.0,10000.0,0.0,0.0,0,0
10000.0,9353.175842285156,646.8241577148438,0.0,1,1
10016.390625,8689.961059570312,1326.4295654296875,0.0016390625,1,2
10010.835693359375,8689.961059570312,1320.8746337890625,0.0010835693359375,1,2
10018.737670898438,8689.961059570312,1328.776611328125,0.00187376708984375,1,2
10022.84521484375,8689.961059570312,1332.8841552734375,0.002284521484375,1,2
10026.991577148438,8689.961059570312,1337.030517578125,0.00269915771484375,1,2
10040.018310546875,8689.961059570312,1350.0572509765625,0.0040018310546875,1,2
10060.6728515625,8689.961059570312,1370.7117919921875,0.00606728515625,1,2
10053.962158203125,8689.961059570312,1364.0010986328125,0.0053962158203125,1,2
10004.709594726562,8689.961059570312,1314.74853515625,0.00047095947265625,1,2
9969.624389648438,8050.12939453125,1919.4949951171875,-0.00303756103515625,1,3
9983.340454101562,8050.12939453125,1933.2110595703125,-0.00166595458984375,1,3
9978.101257324219,8050.12939453125,1927.9718627929688,-0.002189874267578125,1,3
9987.284729003906,7402.27587890625,2585.0088500976562,-0.001271527099609375,2,4
9981.428146362305,7402.27587890625,2579.1522674560547,-0.0018571853637695313,2,4
9942.162094116211,6755.806411743164,3186.355682373047,-0.005783790588378906,2,5
9917.321731567383,6134.518081665039,3782.8036499023438,-0.008267826843261718,2,6
9872.522171020508,5829.172012329102,4043.3501586914062,-0.01274778289794922,2,7
9889.266799926758,5829.172012329102,4060.0947875976562,-0.011073320007324219,2,7
9901.159225463867,5829.172012329102,4071.9872131347656,-0.00988407745361328,2,7
9958.743148803711,5829.172012329102,4129.571136474609,-0.004125685119628906,2,7
9980.971969604492,5829.172012329102,4151.799957275391,-0.0019028030395507813,2,7
9886.334182739258,5829.172012329102,4057.1621704101562,-0.011366581726074219,2,7
9897.428359985352,5829.172012329102,4068.25634765625,-0.010257164001464843,2,7
9922.648300170898,5829.172012329102,4093.476287841797,-0.007735169982910156,2,7
9883.698837280273,5520.097610473633,4363.601226806641,-0.011630116271972656,2,8
9966.77653503418,5520.097610473633,4446.678924560547,-0.0033223464965820315,2,8
10016.764846801758,5520.097610473633,4496.667236328125,0.0016764846801757812,2,8
10026.826217651367,4614.542617797852,5412.283599853516,0.002682621765136719,4,10
10070.244094848633,5248.732803344727,4821.511291503906,0.007024409484863281,3,13
10064.778060913086,4400.676452636719,5664.101608276367,0.0064778060913085935,4,15
10128.843887329102,5177.916366577148,4950.927520751953,0.012884388732910156,3,16
10135.144515991211,4686.046378135681,5449.09813785553,0.013514451599121093,4,17
10095.925544261932,4686.046378135681,5409.879166126251,0.009592554426193237,4,17
10155.403147697449,4686.046378135681,5469.356769561768,0.015540314769744873,4,17
10187.994993209839,4686.046378135681,5501.948615074158,0.018799499320983886,4,17
10195.457168579102,4819.546371459961,5375.910797119141,0.019545716857910157,4,19
10207.132400512695,4819.546371459961,5387.586029052734,0.02071324005126953,4,19
10225.821060180664,4431.786361694336,5794.034698486328,0.022582106018066407,4,20
10278.125076293945,4431.786361694336,5846.338714599609,0.02781250762939453,4,20
10380.036422729492,5261.626388549805,5118.4100341796875,0.038003642272949216,3,21
10474.947952270508,10051.418838500977,423.52911376953125,0.04749479522705078,1,23
10478.227676391602,10051.418838500977,426.808837890625,0.04782276763916016,1,23
10471.787368774414,10051.418838500977,420.3685302734375,0.0471787368774414,1,23
10480.970809936523,10051.418838500977,429.5519714355469,0.04809708099365234,1,23
10478.287307739258,10051.418838500977,426.86846923828125,0.047828730773925784,1,23
10476.498397827148,10476.498397827148,0.0,0.047649839782714844,0,24
10476.498397827148,10476.498397827148,0.0,0.047649839782714844,0,24
10476.498397827148,10476.498397827148,0.0,0.047649839782714844,0,24
10476.498397827148,10476.498397827148,0.0,0.047649839782714844,0,24
10476.498397827148,9551.838417053223,924.6599807739258,0.047649839782714844,1,25
10472.538444519043,9551.838417053223,920.7000274658203,0.047253844451904295,1,25
10490.538444519043,8717.43839263916,1773.1000518798828,0.0490538444519043,1,26
10482.208351135254,7902.48836517334,2579.719985961914,0.048220835113525394,2,27
10546.208358764648,8895.408340454102,1650.8000183105469,0.054620835876464845,1,29
10520.90837097168,7397.291763305664,3123.6166076660156,0.05209083709716797,2,31
10483.374267578125,6856.957290649414,3626.416976928711,0.0483374267578125,3,32
10414.473114013672,6821.430801391602,3593.0423126220703,0.04144731140136719,2,34
10539.365463256836,5797.3299560546875,4742.035507202148,0.05393654632568359,4,36
10632.515121459961,4424.839218139648,6207.6759033203125,0.0632515121459961,5,39
10586.005569458008,4886.167190551758,5699.83837890625,0.05860055694580078,5,41
10524.61028289795,4739.868482589722,5784.7418003082275,0.052461028289794924,5,43
10519.108713150024,4739.868482589722,5779.240230560303,0.05191087131500244,5,43
10521.836528778076,4412.400556564331,6109.435972213745,0.052183652877807615,6,44
10768.407245635986,4325.368793487549,6443.0384521484375,0.07684072456359864,5,46
10832.5051612854,5257.47798538208,5575.02717590332,0.08325051612854004,4,47
10788.847240447998,5257.47798538208,5531.369255065918,0.0788847240447998,4,47
10811.560474395752,6474.335163116455,4337.225311279297,0.08115604743957519,2,49
10879.754779815674,6474.335163116455,4405.419616699219,0.08797547798156738,2,49
10803.67412185669,5864.7351722717285,4938.938949584961,0.08036741218566895,3,50
10874.775821685791,6569.375186920166,4305.400634765625,0.08747758216857911,2,51
10866.499744415283,5956.377445220947,4910.122299194336,0.08664997444152832,3,52
11036.927967071533,6589.624408721924,4447.303558349609,0.10369279670715333,2,53
11099.169422149658,4807.012226104736,6292.157196044922,0.10991694221496583,5,57
11156.667209625244,4807.012226104736,6349.654983520508,0.11566672096252441,5,57
11313.83360671997,8912.374988555908,2401.4586181640625,0.13138336067199707,3,59
11258.750736236572,8249.805332183838,3008.9454040527344,0.1258750736236572,3,60
11239.360538482666,7109.274257659912,4130.086280822754,0.1239360538482666,3,63
11454.066478729248,7784.822759628296,3669.243719100952,0.14540664787292482,2,66
11531.454610824585,8654.822759628296,2876.631851196289,0.1531454610824585,1,67
11488.37167930603,7841.562776565552,3646.8089027404785,0.14883716793060303,2,68
11465.773399353027,6059.993776321411,5405.779623031616,0.14657733993530273,4,71
11560.75528717041,6772.404298782349,4788.3509883880615,0.15607552871704103,3,72
11489.080741882324,6772.404298782349,4716.676443099976,0.14890807418823243,3,72
11506.22483253479,6239.609498977661,5266.615333557129,0.15062248325347902,4,73
11519.852890014648,6239.609498977661,5280.243391036987,0.15198528900146485,4,73
11425.321166992188,6239.609498977661,5185.711668014526,0.14253211669921875,4,73
11493.228116989136,6239.609498977661,5253.618618011475,0.14932281169891357,4,73
11497.516834259033,7020.309513092041,4477.207321166992,0.1497516834259033,3,74
11554.363101959229,7020.309513092041,4534.0535888671875,0.15543631019592286,3,74
11516.875019073486,7020.309513092041,4496.565505981445,0.15168750190734864,3,74
11525.360523223877,7020.309513092041,4505.051010131836,0.1525360523223877,3,74
11592.899326324463,7144.518070220947,4448.381256103516,0.15928993263244628,3,76
11628.433856964111,4810.15620803833,6818.277648925781,0.16284338569641113,5,81
11601.377582550049,4810.15620803833,6791.221374511719,0.16013775825500487,5,81
11594.112155914307,4810.15620803833,6783.955947875977,0.15941121559143068,5,81
11654.739353179932,4810.15620803833,6844.583145141602,0.16547393531799318,5,81
11684.070240020752,4523.195209503174,7160.875030517578,0.1684070240020752,5,82
11558.091632843018,6345.247211456299,5212.844421386719,0.15580916328430175,4,85
11623.61569595337,6022.214603424072,5601.401092529297,0.1623615695953369,4,88
11627.359226226807,6924.641056060791,4702.718170166016,0.16273592262268066,3,89
11733.909030914307,10385.128589630127,1348.7804412841797,0.17339090309143065,3,91
11756.71788406372,11421.942432403564,334.77545166015625,0.17567178840637207,1,93
11754.211078643799,11421.942432403564,332.2686462402344,0.1754211078643799,1,93
11754.368366241455,11421.942432403564,332.4259338378906,0.1754368366241455,1,93
11757.435596466064,10551.33946609497,1206.0961303710938,0.17574355964660646,2,94
11749.100940704346,10551.33946609497,1197.761474609375,0.17491009407043456,2,94
11754.44658279419,10551.33946609497,1203.1071166992188,0.17544465827941894,2,94
11767.568775177002,10551.33946609497,1216.2293090820312,0.1767568775177002,2,94
11805.16548538208,11473.673480987549,331.49200439453125,0.180516548538208,1,95
11810.533100128174,11473.673480987549,336.859619140625,0.18105331001281738,1,95
11813.069385528564,10477.186359405518,1335.8830261230469,0.18130693855285646,2,96
11807.433368682861,9797.43111038208,2010.0022583007812,0.18074333686828614,2,97
11840.943347930908,10857.645191192627,983.2981567382812,0.1840943347930908,1,98
11827.198108673096,9080.750232696533,2746.4478759765625,0.18271981086730957,3,100
11762.571994781494,9080.750232696533,2681.821762084961,0.1762571994781494,3,100
11763.44250869751,8472.846668243408,3290.5958404541016,0.17634425086975097,4,103
11768.93858718872,8021.023578643799,3747.915008544922,0.17689385871887206,5,104
11806.336582183838,6724.0816078186035,5082.254974365234,0.18063365821838379,6,106
11779.498096466064,6772.522830963135,5006.97526550293,0.17794980964660645,6,108
11782.496097564697,6152.92248916626,5629.5736083984375,0.17824960975646972,6,109
11924.40831375122,7446.865726470947,4477.542587280273,0.19244083137512208,5,110
11922.37431716919,6813.569766998291,5108.804550170898,0.19223743171691896,6,111
11910.228672027588,6813.569766998291,5096.658905029297,0.1910228672027588,6,111
11779.545063018799,6813.569766998291,4965.975296020508,0.1779545063018799,6,111
11770.926502227783,6813.569766998291,4957.356735229492,0.17709265022277831,6,111
11792.629779815674,7111.04487991333,4681.584899902344,0.17926297798156737,5,113
11807.783298492432,6580.415943145752,5227.36735534668,0.18077832984924316,5,114
11845.729221343994,6560.055011749268,5285.674209594727,0.1845729221343994,4,116
11751.475757598877,6031.384204864502,5720.091552734375,0.1751475757598877,4,117
11748.265369415283,6031.384204864502,5716.881164550781,0.17482653694152833,4,117
11702.93599319458,5459.798252105713,6243.137741088867,0.170293599319458,4,118
11850.475605010986,5459.798252105713,6390.677352905273,0.18504756050109863,4,118
11805.990756988525,5459.798252105713,6346.1925048828125,0.18059907569885253,4,118
11757.450374603271,5008.598239898682,6748.85213470459,0.17574503746032716,5,119
11664.441577911377,4570.158237457275,7094.283340454102,0.1664441577911377,5,120
11651.00802230835,4139.178226470947,7511.829795837402,0.16510080223083495,5,121
11927.6008644104,3763.694522857666,8163.906341552734,0.19276008644104003,5,122
11905.653865814209,3444.2331924438477,8461.420673370361,0.1905653865814209,5,123
12095.156185150146,3161.7269744873047,8933.429210662842,0.20951561851501466,5,124
11934.430206298828,2878.938980102539,9055.491226196289,0.1934430206298828,5,125
11962.851222991943,3841.546604156494,8121.304618835449,0.19628512229919434,5,128
12056.87682723999,4081.784885406494,7975.091941833496,0.205687682723999,4,129
12285.511875152588,6606.366962432861,5679.144912719727,0.2285511875152588,4,131
12366.73226928711,6606.366962432861,5760.365306854248,0.23667322692871093,4,131
12370.887954711914,6606.366962432861,5764.520992279053,0.2370887954711914,4,131
12415.615814208984,9702.645050048828,2712.9707641601562,0.24156158142089842,3,134
12437.279296875,9702.645050048828,2734.634246826172,0.2437279296875,3,134
12421.231262207031,9702.645050048828,2718.586212158203,0.24212312622070312,3,134
12423.473663330078,8875.545013427734,3547.9286499023438,0.24234736633300782,3,135
12443.664031982422,8875.545013427734,3568.1190185546875,0.24436640319824218,3,135
12535.78775024414,11924.436492919922,611.3512573242188,0.25357877502441406,1,137
12524.059967041016,10804.456523895264,1719.603443145752,0.2524059967041016,2,138
12494.858390808105,10804.456523895264,1690.4018669128418,0.24948583908081054,2,138
12469.816802978516,11424.076763153076,1045.7400398254395,0.24698168029785156,1,139
12414.716758728027,8586.650691986084,3828.0660667419434,0.24147167587280274,4,142
12382.115970611572,8586.650691986084,3795.4652786254883,0.23821159706115722,4,142
12351.329992294312,8586.650691986084,3764.6793003082275,0.23513299922943115,4,142
12229.284345626831,7784.582431793213,4444.701913833618,0.2229284345626831,5,143
12064.449300765991,5427.218105316162,6637.231195449829,0.20644493007659911,7,147
12063.598234176636,4651.6801109313965,7411.918123245239,0.20635982341766357,7,149
12124.015628814697,4421.757595062256,7702.258033752441,0.21240156288146972,7,150
11960.90299987793,3252.95658493042,8707.94641494751,0.19609029998779298,7,154
12058.09846496582,3026.837200164795,9031.261264801025,0.20580984649658204,7,155
12183.270711898804,3919.4572200775146,8263.813491821289,0.21832707118988037,6,156
12197.646451950073,3919.4572200775146,8278.189231872559,0.21976464519500732,6,156
12352.158979415894,3614.517065048218,8737.641914367676,0.23521589794158937,7,157
12166.300550460815,3614.517065048218,8551.783485412598,0.21663005504608154,7,157
12292.323308944702,3614.517065048218,8677.806243896484,0.2292323308944702,7,157
12322.904920578003,3354.467077255249,8968.437843322754,0.23229049205780028,8,158
12478.602437973022,3394.689214706421,9083.913223266602,0.24786024379730226,7,160
12489.899312973022,3394.689214706421,9095.210098266602,0.24898993129730224,7,160
12528.955533981323,3394.689214706421,9134.266319274902,0.2528955533981323,7,160
12640.71642112732,3394.689214706421,9246.027206420898,0.26407164211273193,7,160
12637.018194198608,3394.689214706421,9242.328979492188,0.2637018194198608,7,160
12508.204122543335,3394.689214706421,9113.514907836914,0.2508204122543335,7,160
12624.292798995972,3394.689214706421,9229.60358428955,0.2624292798995972,7,160
12541.456373214722,3394.689214706421,9146.7671585083,0.25414563732147216,7,160
12364.50491142273,4828.508192062378,7535.996719360352,0.23645049114227296,6,161
12320.20965385437,4388.288190841675,7931.921463012695,0.232020965385437,6,162
12191.61752128601,4525.696649551392,7665.920871734619,0.21916175212860106,6,165
12220.396513938904,5746.816614151001,6473.579899787903,0.22203965139389037,5,167
12244.982872009277,4826.779119491577,7418.2037525177,0.22449828720092774,5,169
12024.140274047852,3732.1179809570312,8292.02229309082,0.20241402740478515,5,172
11759.023971557617,3582.7872676849365,8176.236703872681,0.17590239715576172,7,179
11833.525233268738,3340.1209621429443,8493.404271125793,0.18335252332687377,7,180
11775.83546257019,3074.70094871521,8701.13451385498,0.17758354625701905,7,181
11818.787516593933,3074.70094871521,8744.086567878723,0.18187875165939332,7,181
12073.663910865784,5198.162801742554,6875.50110912323,0.20736639108657837,6,184
12354.19162273407,7074.781283378601,5279.410339355469,0.23541916227340698,4,187
12404.863535881042,6445.082438468933,5959.781097412109,0.24048635358810425,4,188
12450.29099559784,7666.107356071472,4784.183639526367,0.24502909955978394,4,190
12483.36129283905,7074.704218864441,5408.657073974609,0.24833612928390503,5,191
12538.861994743347,8615.965754508972,3922.896240234375,0.2538861994743347,3,193
12502.767725944519,8033.050166130066,4469.717559814453,0.2502767725944519,4,194
12585.360224723816,8772.390681266785,3812.9695434570312,0.2585360224723816,3,195
12589.63994884491,8168.389155387878,4421.250793457031,0.25896399488449096,3,196
12628.644190788269,7771.177134513855,4857.467056274414,0.2628644190788269,3,198
12609.951075553894,7036.250147819519,5573.700927734375,0.2609951075553894,3,199
12663.563166618347,7036.250147819519,5627.313018798828,0.26635631666183474,3,199
12639.87920665741,7036.250147819519,5603.629058837891,0.26398792066574095,3,199
12674.480189323425,6663.659022331238,6010.8211669921875,0.26744801893234255,4,200
12689.409907341003,6663.659022331238,6025.750885009766,0.2689409907341003,4,200
12741.085505485535,6030.724051475525,6710.36145401001,0.2741085505485535,5,201
12704.43640422821,6030.724051475525,6673.712352752686,0.27044364042282104,5,201
12685.687586784363,6030.724051475525,6654.963535308838,0.26856875867843627,5,201
12694.544756889343,6030.724051475525,6663.820705413818,0.2694544756889343,5,201
12654.757391929626,6030.724051475525,6624.033340454102,0.26547573919296263,5,201
12596.162573814392,6404.766318321228,6191.396255493164,0.25961625738143923,4,202
12566.269930839539,9285.815634727478,3280.4542961120605,0.25662699308395387,3,203
12541.29632472992,9285.815634727478,3255.4806900024414,0.2541296324729919,3,203
12560.955485343933,9285.815634727478,3275.139850616455,0.2560955485343933,3,203
12547.42024898529,10792.281363487244,1755.1388854980469,0.25474202489852904,2,204
12559.686297416687,9840.337119102478,2719.349178314209,0.2559686297416687,3,205
12577.341258049011,9840.337119102478,2737.004138946533,0.2577341258049011,3,205
12526.42859172821,9840.337119102478,2686.0914726257324,0.25264285917282103,3,205
12535.88122844696,9840.337119102478,2695.5441093444824,0.25358812284469606,3,205
12566.993140220642,8913.66709804535,3653.326042175293,0.2566993140220642,4,206
12610.718434333801,8643.087887763977,3967.630546569824,0.26107184343338014,4,209
