symbol,order_type,quantity,price,timestamp,commission,pnl
LLY,BUY,2,323.4120788574219,2023-02-02,0.0,0.0
LLY,BUY,2,331.6073913574219,2023-02-03,0.0,0.0
LLY,BUY,2,319.91583251953125,2023-02-16,0.0,0.0
V,BUY,3,215.951171875,2023-02-22,0.0,0.0
V,BUY,3,215.4898223876953,2023-02-24,0.0,0.0
LLY,BUY,2,310.6441650390625,2023-02-27,0.0,0.0
LLY,BUY,1,305.3460693359375,2023-02-28,0.0,0.0
LLY,BUY,1,309.07440185546875,2023-03-10,0.0,0.0
MSFT,BUY,2,260.37750244140625,2023-03-15,0.0,0.0
AMZN,BUY,4,96.19999694824219,2023-03-15,0.0,0.0
AAPL,BUY,2,153.91722106933594,2023-03-16,0.0,0.0
MSFT,SELL,2,270.93231201171875,2023-03-16,0.0,21.109619140625
AMZN,SELL,4,100.04000091552734,2023-03-16,0.0,15.360015869140625
AAPL,BUY,3,153.07777404785156,2023-03-17,0.0,0.0
META,BUY,2,194.41151428222656,2023-03-17,0.0,0.0
AAPL,SELL,5,155.44798278808594,2023-03-20,0.0,10.172149658203153
IONQ,BUY,101,4.869999885559082,2023-03-21,0.0,0.0
TSLA,BUY,2,191.80999755859375,2023-03-27,0.0,0.0
IONQ,SELL,101,5.119999885559082,2023-03-27,0.0,25.25
TSLA,BUY,2,193.8800048828125,2023-03-29,0.0,0.0
TSLA,SELL,4,207.4600067138672,2023-03-31,0.0,58.46002197265625
LLY,SELL,10,344.1202087402344,2023-04-03,0.0,255.6226806640626
V,SELL,6,224.7650604248047,2023-04-03,0.0,54.26737976074219
META,SELL,2,212.53977966308594,2023-04-11,0.0,36.25653076171875
AMZN,BUY,9,102.73999786376953,2023-04-17,0.0,0.0
AMZN,BUY,8,104.30000305175781,2023-04-19,0.0,0.0
TSLA,BUY,5,162.99000549316406,2023-04-20,0.0,0.0
AMZN,SELL,17,106.95999908447266,2023-04-21,0.0,59.25997924804683
TSLA,BUY,5,165.0800018310547,2023-04-21,0.0,0.0
TSLA,BUY,5,162.5500030517578,2023-04-24,0.0,0.0
V,BUY,3,228.4555206298828,2023-04-24,0.0,0.0
MSFT,BUY,2,270.167236328125,2023-04-25,0.0,0.0
MSFT,SELL,2,289.73675537109375,2023-04-26,0.0,39.1390380859375
TSLA,BUY,4,153.75,2023-04-26,0.0,0.0
GOOGL,BUY,6,106.85303497314453,2023-04-27,0.0,0.0
LLY,BUY,1,382.9826354980469,2023-04-27,0.0,0.0
AMZN,BUY,5,105.44999694824219,2023-04-28,0.0,0.0
LLY,BUY,1,388.3885803222656,2023-04-28,0.0,0.0
V,BUY,2,228.42608642578125,2023-04-28,0.0,0.0
AAPL,BUY,2,167.48683166503906,2023-05-01,0.0,0.0
LLY,SELL,2,398.15081787109375,2023-05-01,0.0,24.930419921875
AAPL,SELL,2,166.44985961914062,2023-05-02,0.0,-2.073944091796875
NVDA,BUY,17,28.188142776489258,2023-05-02,0.0,0.0
AAPL,BUY,2,163.7339630126953,2023-05-04,0.0,0.0
AAPL,SELL,2,171.41748046875,2023-05-05,0.0,15.367034912109375
NVDA,BUY,15,28.65778160095215,2023-05-05,0.0,0.0
NVDA,SELL,32,29.1284122467041,2023-05-08,0.0,23.04404067993164
GOOGL,SELL,6,110.98452758789062,2023-05-10,0.0,24.788955688476562
AMZN,SELL,5,110.19000244140625,2023-05-10,0.0,23.700027465820312
IONQ,BUY,96,6.349999904632568,2023-05-12,0.0,0.0
